"Rank","Address","XDP Allocation","Raw Amount","Block","Tx Hash"
"1787","0x10a29807a0e3bb02f614642796cffc42032a0d50","943.306109238546021146","943306109238546021146","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1788","0x97e802ceb92715427c61001fad21f296252c212a","943.197255296488280503","943197255296488280503","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1789","0x089dad2435924a3428ec2db215b9a1c290df2b81","938.931688919495198133","938931688919495198133","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1790","0x53d22e9ef1f4a93071024143dffd46f0b8a6287d","932.048417311931713005","932048417311931713005","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1791","0x48433711cb68824f9bfd177b1dade8f443c1a95d","931.020038775104567261","931020038775104567261","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1792","0x93ecc85f965f1f85426ff440d5e629c35e13f903","927.236259331864804764","927236259331864804764","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1793","0x85a39f361aa3d7baf075f77ae2d4aa6332c84c0e","926.389515165843476017","926389515165843476017","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1794","0x4203d39b29e0b947fe32b574236a4ce96cbb9b9d","925.342940769529453299","925342940769529453299","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1795","0x2634aff5a0e7b496ac11fc9cfb65933b7c612fb9","924.693207406302377686","924693207406302377686","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1796","0xdad85506de27670693ddc101ac7a9a11c02b3567","919.279701104333877681","919279701104333877681","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1797","0x6577a36c980e16faba52990311a937ffc509ec26","917.371469938941647663","917371469938941647663","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1798","0x336538447e7d1167353c3f5dc1d9568924e11341","915.093292920693200159","915093292920693200159","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1799","0xce1fed3a277093ebb7afd28efc120cbb70ae17af","913.76009965037643681","913760099650376436810","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1800","0x2b25bccca8f8cc5643e065fa088a8905e302c903","913.30296881888595632","913302968818885956320","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1801","0xdfd4392dda1415fb0eaa43b1b89591b059a34367","913.302885667423125394","913302885667423125394","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1802","0xb5c851f7bad536761d1a95b02c257dec271edf24","900.080519200307442403","900080519200307442403","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1803","0x026d94921f6c01c4246658cd46298c78ef5f1187","885.760518639401806161","885760518639401806161","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
